0,1,2,3,4,5,6,7,8,9,10
dish cleaner,waffles,,,,,,,,,
pork,berries,,,,,,,,,
root vegetables,roll products ,root vegetables,whole milk,,,,,,,
whole milk,tropical fruit,liquor (appetizer),soda,,,,,,,
packaged fruit/vegetables,house keeping products,,,,,,,,,
whole milk,butter,,,,,,,,,
newspapers,sliced cheese,,,,,,,,,
zwieback,white bread,,,,,,,,,
UHT-milk,margarine,,,,,,,,,
tropical fruit,chocolate,,,,,,,,,
hamburger meat,cat food,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
beverages,tropical fruit,,,,,,,,,
sausage,grapes,,,,,,,,,
sausage,napkins,,,,,,,,,
sausage,bottled beer,hygiene articles,,,,,,,,
sausage,UHT-milk,,,,,,,,,
frankfurter,frankfurter,tropical fruit,berries,,,,,,,
pastry,chewing gum,,,,,,,,,
whole milk,specialty bar,,,,,,,,,
beverages,fruit/vegetable juice,,,,,,,,,
turkey,yogurt,,,,,,,,,
liquor (appetizer),onions,whole milk,butter,cream cheese ,specialty cheese,,,,,
salty snack,napkins,yogurt,brown bread,,,,,,,
yogurt,whole milk,shopping bags,,,,,,,,
hard cheese,meat,beverages,curd,fruit/vegetable juice,,,,,,
UHT-milk,frozen fish,,,,,,,,,
specialty bar,bottled water,,,,,,,,,
tropical fruit,other vegetables,butter,rolls/buns,coffee,pastry,,,,,
pork,tea,,,,,,,,,
frozen meals,mustard,,,,,,,,,
whole milk,yogurt,pot plants,pastry,flower (seeds),pudding powder,,,,,
herbs,whole milk,,,,,,,,,
napkins,bottled water,,,,,,,,,
hard cheese,white wine,,,,,,,,,
brown bread,other vegetables,,,,,,,,,
vinegar,butter,newspapers,,,,,,,,
bottled water,pastry,,,,,,,,,
specialty chocolate,pork,,,,,,,,,
newspapers,chewing gum,,,,,,,,,
sliced cheese,napkins,,,,,,,,,
other vegetables,finished products,beef,whole milk,chocolate,sugar,,,,,
sausage,soda,,,,,,,,,
shopping bags,pickled vegetables,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
bottled beer,yogurt,,,,,,,,,
citrus fruit,waffles,,,,,,,,,
soda,red/blush wine,root vegetables,butter milk,,,,,,,
pork,pastry,,,,,,,,,
pastry,fruit/vegetable juice,,,,,,,,,
pork,semi-finished bread,,,,,,,,,
whole milk,whole milk,,,,,,,,,
hamburger meat,brown bread,chewing gum,,,,,,,,
brown bread,waffles,,,,,,,,,
yogurt,canned vegetables,seasonal products,,,,,,,,
rolls/buns,soda,,,,,,,,,
rolls/buns,ice cream,,,,,,,,,
bottled beer,ham,other vegetables,pork,whole milk,oil,brown bread,,,,
beef,processed cheese,,,,,,,,,
ham,specialty bar,,,,,,,,,
pickled vegetables,pastry,brown bread,sugar,,,,,,,
pork,brown bread,,,,,,,,,
other vegetables,newspapers,,,,,,,,,
yogurt,root vegetables,candles,,,,,,,,
detergent,pot plants,,,,,,,,,
pork,whole milk,,,,,,,,,
rolls/buns,coffee,,,,,,,,,
canned beer,whole milk,pork,oil,,,,,,,
ham,citrus fruit,cling film/bags,,,,,,,,
pip fruit,white bread,sliced cheese,,,,,,,,
tropical fruit,napkins,frozen vegetables,pastry,,,,,,,
waffles,instant coffee,,,,,,,,,
canned beer,flour,newspapers,,,,,,,,
grapes,other vegetables,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
white bread,dog food,potato products,,,,,,,,
whole milk,tropical fruit,,,,,,,,,
rolls/buns,brown bread,,,,,,,,,
other vegetables,pickled vegetables,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
bottled beer,whole milk,other vegetables,,,,,,,,
hamburger meat,soft cheese,,,,,,,,,
fruit/vegetable juice,specialty bar,root vegetables,sliced cheese,butter,chocolate,,,,,
salty snack,salty snack,canned fish,,,,,,,,
cream cheese ,shopping bags,,,,,,,,,
specialty chocolate,sugar,domestic eggs,,,,,,,,
meat,whole milk,,,,,,,,,
soda,dish cleaner,,,,,,,,,
pork,cereals,,,,,,,,,
ham,yogurt,,,,,,,,,
rolls/buns,pip fruit,,,,,,,,,
rolls/buns,cat food,,,,,,,,,
tropical fruit,bottled water,,,,,,,,,
whole milk,onions,,,,,,,,,
rolls/buns,root vegetables,,,,,,,,,
sausage,bottled beer,,,,,,,,,
frankfurter,coffee,,,,,,,,,
frankfurter,newspapers,,,,,,,,,
bottled water,Instant food products,,,,,,,,,
hard cheese,rolls/buns,root vegetables,napkins,,,,,,,
frozen meals,bottled beer,,,,,,,,,
frankfurter,butter milk,,,,,,,,,
mustard,rolls/buns,white bread,newspapers,,,,,,,
whipped/sour cream,bottled water,,,,,,,,,
chewing gum,domestic eggs,packaged fruit/vegetables,,,,,,,,
root vegetables,rolls/buns,whole milk,,,,,,,,
yogurt,semi-finished bread,,,,,,,,,
tropical fruit,yogurt,candy,,,,,,,,
sugar,bottled water,,,,,,,,,
chocolate,yogurt,,,,,,,,,
specialty bar,tropical fruit,,,,,,,,,
whole milk,pastry,,,,,,,,,
sausage,pork,,,,,,,,,
finished products,other vegetables,,,,,,,,,
frankfurter,red/blush wine,,,,,,,,,
bottled beer,whole milk,bottled water,,,,,,,,
pastry,frankfurter,long life bakery product,whipped/sour cream,,,,,,,
root vegetables,specialty cheese,curd,,,,,,,,
pip fruit,brown bread,,,,,,,,,
newspapers,pastry,,,,,,,,,
chocolate,herbs,chocolate,,,,,,,,
beef,jam,flower (seeds),,,,,,,,
other vegetables,root vegetables,mayonnaise,,,,,,,,
whole milk,butter milk,beverages,,,,,,,,
other vegetables,yogurt,,,,,,,,,
whipped/sour cream,waffles,,,,,,,,,
white bread,make up remover,,,,,,,,,
ham,tropical fruit,,,,,,,,,
whole milk,pork,brown bread,other vegetables,,,,,,,
sweet spreads,flower (seeds),,,,,,,,,
pork,root vegetables,,,,,,,,,
pastry,pet care,,,,,,,,,
dog food,bottled beer,,,,,,,,,
soda,soda,,,,,,,,,
herbs,pip fruit,,,,,,,,,
pork,specialty bar,,,,,,,,,
brown bread,pastry,,,,,,,,,
grapes,packaged fruit/vegetables,detergent,,,,,,,,
sausage,whole milk,,,,,,,,,
tropical fruit,whole milk,dog food,,,,,,,,
pork,pip fruit,whole milk,shopping bags,,,,,,,
hamburger meat,soda,,,,,,,,,
yogurt,whole milk,ham,citrus fruit,frozen vegetables,whole milk,,,,,
curd cheese,popcorn,,,,,,,,,
soda,frozen dessert,,,,,,,,,
nut snack,butter,,,,,,,,,
whole milk,butter,,,,,,,,,
frankfurter,bottled beer,,,,,,,,,
pastry,vinegar,salty snack,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
fruit/vegetable juice,hamburger meat,soft cheese,specialty chocolate,bottled water,,,,,,
pork,frozen meals,canned beer,,,,,,,,
soda,whipped/sour cream,,,,,,,,,
tropical fruit,pip fruit,,,,,,,,,
whole milk,curd,,,,,,,,,
tropical fruit,pip fruit,,,,,,,,,
whole milk,roll products ,rice,,,,,,,,
candy,cake bar,,,,,,,,,
rolls/buns,mayonnaise,,,,,,,,,
chicken,mayonnaise,soda,sparkling wine,,,,,,,
rolls/buns,hygiene articles,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
curd cheese,canned beer,,,,,,,,,
pastry,brown bread,,,,,,,,,
pip fruit,newspapers,,,,,,,,,
frozen vegetables,onions,,,,,,,,,
photo/film,soda,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
hygiene articles,dessert,,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
margarine,rolls/buns,,,,,,,,,
dessert,cream cheese ,,,,,,,,,
chicken,bottled beer,soda,domestic eggs,other vegetables,,,,,,
beverages,waffles,specialty chocolate,,,,,,,,
tropical fruit,yogurt,fruit/vegetable juice,,,,,,,,
whole milk,pastry,yogurt,pot plants,,,,,,,
tropical fruit,soft cheese,shopping bags,,,,,,,,
whole milk,coffee,,,,,,,,,
beef,soda,,,,,,,,,
butter,citrus fruit,brown bread,pork,shopping bags,hygiene articles,dessert,whole milk,,,
onions,cream cheese ,,,,,,,,,
root vegetables,dog food,,,,,,,,,
chicken,finished products,meat,fruit/vegetable juice,,,,,,,
frozen meals,rolls/buns,canned beer,coffee,soda,,,,,,
whole milk,other vegetables,,,,,,,,,
ice cream,white wine,soups,instant coffee,,,,,,,
frozen meals,other vegetables,,,,,,,,,
bottled water,processed cheese,,,,,,,,,
grapes,canned fish,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
whole milk,white bread,,,,,,,,,
soda,bottled water,hygiene articles,,,,,,,,
soda,frozen vegetables,,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
tropical fruit,popcorn,,,,,,,,,
citrus fruit,light bulbs,,,,,,,,,
dish cleaner,ice cream,jam,newspapers,,,,,,,
newspapers,sausage,sugar,,,,,,,,
citrus fruit,pip fruit,beverages,,,,,,,,
curd,rolls/buns,,,,,,,,,
ice cream,sliced cheese,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
bottled water,bottled beer,,,,,,,,,
pip fruit,frozen vegetables,,,,,,,,,
beverages,candles,,,,,,,,,
chocolate marshmallow,other vegetables,,,,,,,,,
salty snack,butter,,,,,,,,,
tropical fruit,soda,,,,,,,,,
white bread,frozen vegetables,,,,,,,,,
newspapers,chocolate,,,,,,,,,
citrus fruit,margarine,,,,,,,,,
tropical fruit,chewing gum,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
bottled beer,whole milk,soda,whole milk,soft cheese,soda,shopping bags,sugar,,,
pip fruit,frankfurter,other vegetables,napkins,,,,,,,
rolls/buns,root vegetables,root vegetables,pastry,cake bar,canned fish,,,,,
frankfurter,tropical fruit,,,,,,,,,
frankfurter,sausage,whole milk,domestic eggs,fruit/vegetable juice,,,,,,
frankfurter,UHT-milk,fruit/vegetable juice,,,,,,,,
brown bread,whole milk,shopping bags,,,,,,,,
male cosmetics,roll products ,pastry,,,,,,,,
pip fruit,whole milk,,,,,,,,,
napkins,soda,,,,,,,,,
beef,candles,,,,,,,,,
whole milk,yogurt,pastry,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
whipped/sour cream,cream cheese ,,,,,,,,,
sausage,bottled beer,,,,,,,,,
bottled beer,fruit/vegetable juice,,,,,,,,,
soda,hard cheese,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
ketchup,hard cheese,rolls/buns,,,,,,,,
tropical fruit,coffee,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
candy,specialty fat,,,,,,,,,
beef,pastry,specialty chocolate,,,,,,,,
beef,brown bread,,,,,,,,,
soft cheese,cat food,,,,,,,,,
white bread,mustard,,,,,,,,,
UHT-milk,whipped/sour cream,,,,,,,,,
cream cheese ,yogurt,,,,,,,,,
pork,root vegetables,,,,,,,,,
dog food,hygiene articles,Instant food products,,,,,,,,
sausage,chocolate,newspapers,,,,,,,,
sausage,sliced cheese,,,,,,,,,
brown bread,pet care,,,,,,,,,
whole milk,yogurt,,,,,,,,,
whipped/sour cream,newspapers,,,,,,,,,
frankfurter,newspapers,,,,,,,,,
waffles,dishes,domestic eggs,oil,,,,,,,
hamburger meat,root vegetables,other vegetables,whole milk,,,,,,,
cream cheese ,yogurt,whipped/sour cream,,,,,,,,
sweet spreads,butter,,,,,,,,,
cream cheese ,beverages,,,,,,,,,
meat,rolls/buns,soda,,,,,,,,
bottled beer,herbs,,,,,,,,,
semi-finished bread,rolls/buns,fruit/vegetable juice,tropical fruit,,,,,,,
soda,brown bread,rolls/buns,sliced cheese,,,,,,,
citrus fruit,sparkling wine,bottled water,,,,,,,,
rolls/buns,other vegetables,pastry,,,,,,,,
yogurt,fruit/vegetable juice,,,,,,,,,
bottled beer,curd,,,,,,,,,
whole milk,sparkling wine,,,,,,,,,
coffee,butter milk,,,,,,,,,
whole milk,dessert,,,,,,,,,
berries,coffee,,,,,,,,,
yogurt,soda,dessert,,,,,,,,
whole milk,canned beer,cat food,,,,,,,,
other vegetables,newspapers,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
pip fruit,sugar,,,,,,,,,
beef,frozen fish,whole milk,,,,,,,,
turkey,whipped/sour cream,,,,,,,,,
whole milk,frozen dessert,,,,,,,,,
bottled beer,grapes,candy,,,,,,,,
white wine,UHT-milk,,,,,,,,,
whole milk,whole milk,,,,,,,,,
rolls/buns,pork,canned beer,root vegetables,canned beer,shopping bags,oil,soda,,,
soda,other vegetables,soda,,,,,,,,
whole milk,soda,,,,,,,,,
margarine,cereals,,,,,,,,,
soups,bottled water,,,,,,,,,
beef,other vegetables,whole milk,soda,,,,,,,
meat,newspapers,cleaner,,,,,,,,
beef,liquor,,,,,,,,,
packaged fruit/vegetables,beverages,,,,,,,,,
meat,pork,,,,,,,,,
fish,yogurt,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
chocolate marshmallow,yogurt,detergent,,,,,,,,
root vegetables,coffee,,,,,,,,,
whole milk,roll products ,,,,,,,,,
beef,newspapers,,,,,,,,,
pot plants,frozen dessert,,,,,,,,,
canned beer,berries,male cosmetics,fruit/vegetable juice,,,,,,,
other vegetables,butter milk,chewing gum,specialty chocolate,,,,,,,
zwieback,butter,,,,,,,,,
grapes,butter,,,,,,,,,
rolls/buns,yogurt,fruit/vegetable juice,,,,,,,,
sausage,pasta,bottled water,,,,,,,,
frankfurter,hamburger meat,,,,,,,,,
other vegetables,specialty chocolate,,,,,,,,,
beef,canned beer,pastry,whole milk,,,,,,,
citrus fruit,beef,whipped/sour cream,other vegetables,,,,,,,
ham,canned beer,,,,,,,,,
photo/film,whole milk,yogurt,whole milk,white bread,pot plants,dessert,,,,
whole milk,pastry,,,,,,,,,
citrus fruit,cling film/bags,fruit/vegetable juice,,,,,,,,
bottled beer,whole milk,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
pip fruit,newspapers,chocolate,,,,,,,,
meat,bottled water,soda,,,,,,,,
tropical fruit,ice cream,butter milk,domestic eggs,,,,,,,
canned beer,whole milk,,,,,,,,,
misc. beverages,instant coffee,,,,,,,,,
frankfurter,chicken,meat,bottled beer,other vegetables,pastry,misc. beverages,root vegetables,salt,,
meat,bottled water,soda,,,,,,,,
soda,candy,,,,,,,,,
fish,fruit/vegetable juice,,,,,,,,,
yogurt,pot plants,,,,,,,,,
citrus fruit,margarine,sliced cheese,,,,,,,,
root vegetables,whipped/sour cream,shopping bags,,,,,,,,
bottled water,brown bread,,,,,,,,,
pickled vegetables,bottled beer,,,,,,,,,
sparkling wine,soda,,,,,,,,,
candy,soda,,,,,,,,,
berries,pip fruit,,,,,,,,,
pip fruit,pastry,rolls/buns,chocolate,soda,,,,,,
male cosmetics,soda,,,,,,,,,
whole milk,whole milk,,,,,,,,,
whole milk,pastry,specialty bar,,,,,,,,
tropical fruit,semi-finished bread,,,,,,,,,
soft cheese,yogurt,hard cheese,coffee,roll products ,,,,,,
specialty bar,domestic eggs,,,,,,,,,
sausage,house keeping products,,,,,,,,,
beef,tea,oil,,,,,,,,
citrus fruit,pastry,candy,softener,,,,,,,
tropical fruit,candy,,,,,,,,,
brown bread,whipped/sour cream,,,,,,,,,
pork,bottled water,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
citrus fruit,waffles,,,,,,,,,
other vegetables,soda,,,,,,,,,
hard cheese,rolls/buns,,,,,,,,,
yogurt,sugar,margarine,,,,,,,,
UHT-milk,sweet spreads,,,,,,,,,
citrus fruit,pot plants,,,,,,,,,
root vegetables,sliced cheese,,,,,,,,,
frozen potato products,specialty cheese,,,,,,,,,
hamburger meat,spread cheese,pasta,,,,,,,,
soda,white bread,chocolate,sugar,,,,,,,
cooking chocolate,shopping bags,,,,,,,,,
rolls/buns,salty snack,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
curd cheese,red/blush wine,margarine,,,,,,,,
frozen vegetables,pastry,,,,,,,,,
sausage,whole milk,,,,,,,,,
tropical fruit,dessert,domestic eggs,,,,,,,,
whole milk,whole milk,pastry,pickled vegetables,,,,,,,
soda,liquor (appetizer),,,,,,,,,
frozen meals,UHT-milk,,,,,,,,,
curd,butter,,,,,,,,,
rolls/buns,misc. beverages,ice cream,tropical fruit,shopping bags,coffee,popcorn,hygiene articles,,,
frozen fish,beef,,,,,,,,,
white bread,butter,,,,,,,,,
sausage,grapes,,,,,,,,,
sausage,processed cheese,,,,,,,,,
margarine,chocolate,,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
frankfurter,ice cream,,,,,,,,,
citrus fruit,processed cheese,,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
chicken,bottled water,,,,,,,,,
tropical fruit,specialty chocolate,,,,,,,,,
root vegetables,pickled vegetables,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
other vegetables,chocolate,white wine,,,,,,,,
cream cheese ,whole milk,candy,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
other vegetables,domestic eggs,,,,,,,,,
whole milk,yogurt,,,,,,,,,
rolls/buns,newspapers,,,,,,,,,
softener,salt,whole milk,,,,,,,,
frankfurter,canned beer,citrus fruit,frozen vegetables,chicken,oil,soda,,,,
onions,specialty chocolate,canned fruit,,,,,,,,
canned beer,frankfurter,brown bread,pip fruit,frozen vegetables,pudding powder,,,,,
sausage,fish,,,,,,,,,
candy,domestic eggs,,,,,,,,,
canned beer,canned beer,,,,,,,,,
root vegetables,seasonal products,,,,,,,,,
root vegetables,baking powder,,,,,,,,,
root vegetables,beverages,,,,,,,,,
sausage,berries,,,,,,,,,
sausage,whole milk,prosecco,honey,other vegetables,waffles,shopping bags,artif. sweetener,,,
white bread,mayonnaise,,,,,,,,,
chicken,whole milk,margarine,soda,,,,,,,
yogurt,other vegetables,,,,,,,,,
yogurt,roll products ,fruit/vegetable juice,,,,,,,,
soda,domestic eggs,,,,,,,,,
sausage,red/blush wine,,,,,,,,,
whipped/sour cream,pastry,,,,,,,,,
whole milk,soda,bottled water,pastry,,,,,,,
salty snack,brown bread,napkins,,,,,,,,
chocolate,ice cream,,,,,,,,,
hard cheese,bottled beer,whole milk,liquor (appetizer),,,,,,,
canned beer,yogurt,,,,,,,,,
tropical fruit,butter milk,shopping bags,,,,,,,,
frankfurter,yogurt,,,,,,,,,
pip fruit,onions,,,,,,,,,
hamburger meat,onions,,,,,,,,,
bottled beer,fruit/vegetable juice,whole milk,bottled beer,,,,,,,
hamburger meat,pet care,pastry,,,,,,,,
sausage,pastry,whole milk,,,,,,,,
pip fruit,canned fish,organic sausage,pastry,,,,,,,
white bread,cream cheese ,,,,,,,,,
sausage,finished products,,,,,,,,,
pork,curd,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
other vegetables,pip fruit,,,,,,,,,
sausage,whole milk,popcorn,fruit/vegetable juice,canned fruit,whole milk,soda,,,,
chicken,salty snack,coffee,,,,,,,,
tropical fruit,sausage,root vegetables,spread cheese,,,,,,,
root vegetables,yogurt,,,,,,,,,
roll products ,rice,,,,,,,,,
photo/film,cat food,,,,,,,,,
whole milk,yogurt,,,,,,,,,
ham,berries,,,,,,,,,
hard cheese,soda,,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
soda,dessert,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
yogurt,white bread,salty snack,,,,,,,,
long life bakery product,hard cheese,,,,,,,,,
other vegetables,salt,other vegetables,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
pip fruit,mustard,whole milk,,,,,,,,
soft cheese,pip fruit,whole milk,,,,,,,,
whole milk,soda,,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
ice cream,long life bakery product,,,,,,,,,
whole milk,brown bread,,,,,,,,,
soda,whole milk,,,,,,,,,
ice cream,napkins,,,,,,,,,
whole milk,hard cheese,,,,,,,,,
tropical fruit,mayonnaise,liquor,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
root vegetables,dog food,,,,,,,,,
brown bread,coffee,,,,,,,,,
butter,specialty chocolate,frozen meals,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
pip fruit,rolls/buns,specialty chocolate,,,,,,,,
soft cheese,soda,,,,,,,,,
turkey,sugar,,,,,,,,,
whipped/sour cream,cream cheese ,,,,,,,,,
hygiene articles,other vegetables,,,,,,,,,
canned beer,whole milk,onions,coffee,,,,,,,
other vegetables,instant coffee,instant coffee,hygiene articles,,,,,,,
sausage,whole milk,,,,,,,,,
whole milk,hamburger meat,detergent,pickled vegetables,,,,,,,
margarine,beverages,,,,,,,,,
other vegetables,chicken,,,,,,,,,
rolls/buns,soft cheese,,,,,,,,,
root vegetables,dessert,,,,,,,,,
coffee,onions,,,,,,,,,
grapes,detergent,,,,,,,,,
pastry,curd,,,,,,,,,
frozen vegetables,tropical fruit,,,,,,,,,
sausage,sausage,rolls/buns,sweet spreads,instant coffee,fruit/vegetable juice,long life bakery product,shopping bags,,,
whole milk,rolls/buns,jam,red/blush wine,,,,,,,
salt,ice cream,yogurt,canned beer,,,,,,,
pork,cream cheese ,,,,,,,,,
frankfurter,other vegetables,specialty bar,,,,,,,,
fruit/vegetable juice,pip fruit,,,,,,,,,
root vegetables,canned fish,,,,,,,,,
newspapers,sausage,,,,,,,,,
cat food,candy,,,,,,,,,
sausage,rolls/buns,curd,salty snack,whipped/sour cream,hard cheese,,,,,
cat food,fruit/vegetable juice,,,,,,,,,
yogurt,root vegetables,,,,,,,,,
ice cream,UHT-milk,,,,,,,,,
root vegetables,herbs,,,,,,,,,
brown bread,detergent,,,,,,,,,
bottled water,cream cheese ,,,,,,,,,
whole milk,kitchen towels,,,,,,,,,
whole milk,specialty chocolate,bottled beer,canned beer,rolls/buns,,,,,,
other vegetables,rolls/buns,,,,,,,,,
frozen dessert,fruit/vegetable juice,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
whole milk,berries,,,,,,,,,
root vegetables,hard cheese,waffles,,,,,,,,
onions,frankfurter,cream cheese ,oil,,,,,,,
coffee,specialty fat,,,,,,,,,
oil,bottled beer,yogurt,,,,,,,,
frankfurter,chicken,processed cheese,dessert,,,,,,,
sausage,sugar,,,,,,,,,
liver loaf,fruit/vegetable juice,,,,,,,,,
yogurt,shopping bags,,,,,,,,,
newspapers,salty snack,,,,,,,,,
sausage,whole milk,dessert,UHT-milk,,,,,,,
chewing gum,whole milk,white bread,whole milk,dishes,,,,,,
white bread,photo/film,,,,,,,,,
waffles,shopping bags,sparkling wine,,,,,,,,
domestic eggs,cream cheese ,,,,,,,,,
hamburger meat,pastry,brown bread,,,,,,,,
frozen fish,mustard,,,,,,,,,
citrus fruit,whole milk,specialty cheese,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
brown bread,sugar,beef,citrus fruit,yogurt,,,,,,
other vegetables,newspapers,rolls/buns,,,,,,,,
beef,bottled water,,,,,,,,,
fruit/vegetable juice,onions,,,,,,,,,
UHT-milk,coffee,,,,,,,,,
canned beer,brown bread,,,,,,,,,
frankfurter,chicken,rolls/buns,frankfurter,other vegetables,coffee,long life bakery product,domestic eggs,,,
root vegetables,processed cheese,yogurt,,,,,,,,
other vegetables,other vegetables,waffles,,,,,,,,
beef,citrus fruit,,,,,,,,,
yogurt,curd,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,
frankfurter,yogurt,,,,,,,,,
salty snack,condensed milk,,,,,,,,,
frankfurter,bottled beer,,,,,,,,,
sausage,bottled water,,,,,,,,,
sausage,whipped/sour cream,,,,,,,,,
frozen vegetables,napkins,,,,,,,,,
pastry,hamburger meat,newspapers,other vegetables,root vegetables,instant coffee,yogurt,domestic eggs,,,
sausage,beverages,,,,,,,,,
frankfurter,pastry,,,,,,,,,
bottled beer,other vegetables,,,,,,,,,
beef,pastry,,,,,,,,,
root vegetables,soda,waffles,,,,,,,,
oil,ready soups,,,,,,,,,
whole milk,cat food,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
other vegetables,fruit/vegetable juice,coffee,,,,,,,,
meat,whole milk,shopping bags,,,,,,,,
other vegetables,snack products,,,,,,,,,
whole milk,sugar,,,,,,,,,
root vegetables,fruit/vegetable juice,specialty chocolate,,,,,,,,
other vegetables,curd,yogurt,pudding powder,,,,,,,
frankfurter,processed cheese,,,,,,,,,
sausage,beef,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
flour,soda,,,,,,,,,
beef,frankfurter,other vegetables,brown bread,,,,,,,
fruit/vegetable juice,vinegar,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
whole milk,other vegetables,other vegetables,sugar,,,,,,,
sausage,cake bar,,,,,,,,,
other vegetables,candy,,,,,,,,,
other vegetables,onions,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
pip fruit,margarine,,,,,,,,,
butter,margarine,,,,,,,,,
whole milk,canned beer,bottled water,bottled beer,,,,,,,
pip fruit,flour,,,,,,,,,
other vegetables,pip fruit,,,,,,,,,
butter,coffee,pastry,bottled beer,,,,,,,
onions,cat food,white wine,,,,,,,,
oil,coffee,,,,,,,,,
whole milk,butter,,,,,,,,,
tropical fruit,ice cream,newspapers,,,,,,,,
domestic eggs,soda,,,,,,,,,
root vegetables,bottled beer,,,,,,,,,
sausage,butter,cream cheese ,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
herbs,dessert,yogurt,,,,,,,,
liver loaf,waffles,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
root vegetables,hard cheese,,,,,,,,,
canned beer,domestic eggs,,,,,,,,,
pastry,spread cheese,other vegetables,,,,,,,,
whipped/sour cream,house keeping products,,,,,,,,,
berries,tropical fruit,,,,,,,,,
pickled vegetables,hygiene articles,,,,,,,,,
frozen meals,sausage,flour,curd,whipped/sour cream,,,,,,
rolls/buns,chicken,cream cheese ,dishes,,,,,,,
processed cheese,yogurt,,,,,,,,,
canned beer,rolls/buns,other vegetables,brown bread,butter milk,whole milk,,,,,
specialty chocolate,pastry,,,,,,,,,
pip fruit,white wine,chocolate,,,,,,,,
white bread,mayonnaise,,,,,,,,,
citrus fruit,chocolate,,,,,,,,,
chicken,whole milk,,,,,,,,,
pip fruit,dessert,hard cheese,,,,,,,,
pastry,red/blush wine,,,,,,,,,
frozen meals,detergent,,,,,,,,,
root vegetables,salty snack,,,,,,,,,
domestic eggs,pastry,,,,,,,,,
bottled water,margarine,,,,,,,,,
seasonal products,other vegetables,bottled water,,,,,,,,
pork,frankfurter,other vegetables,potato products,,,,,,,
candy,frozen meals,,,,,,,,,
UHT-milk,berries,,,,,,,,,
citrus fruit,beef,citrus fruit,whipped/sour cream,dishes,bottled beer,whole milk,,,,
root vegetables,shopping bags,,,,,,,,,
prosecco,onions,,,,,,,,,
root vegetables,soda,long life bakery product,,,,,,,,
hamburger meat,newspapers,,,,,,,,,
soda,other vegetables,,,,,,,,,
brown bread,waffles,,,,,,,,,
beef,other vegetables,,,,,,,,,
pip fruit,tropical fruit,whole milk,,,,,,,,
pickled vegetables,soda,chewing gum,yogurt,,,,,,,
pot plants,liquor (appetizer),,,,,,,,,
meat,rum,,,,,,,,,
beverages,other vegetables,,,,,,,,,
other vegetables,rolls/buns,beverages,,,,,,,,
whipped/sour cream,root vegetables,baking powder,,,,,,,,
fish,root vegetables,tropical fruit,other vegetables,,,,,,,
root vegetables,salty snack,,,,,,,,,
berries,whole milk,,,,,,,,,
beef,whole milk,,,,,,,,,
other vegetables,ice cream,,,,,,,,,
beverages,butter milk,,,,,,,,,
pastry,whole milk,other vegetables,rolls/buns,,,,,,,
margarine,bottled water,,,,,,,,,
sausage,frankfurter,napkins,soda,,,,,,,
oil,hard cheese,,,,,,,,,
frankfurter,soda,,,,,,,,,
candy,whole milk,,,,,,,,,
meat,oil,,,,,,,,,
coffee,white bread,,,,,,,,,
canned beer,seasonal products,,,,,,,,,
